SIMID;STATEX;STATEY;BALLX;BALLY;ACTION;REWARD
1;0;0;4;4;NONE;-2
1;0;1;5;5;DOWN;-2
1;0;0;6;6;UP;-4
1;0;1;7;7;DOWN;-4
1;0;0;8;8;UP;-6
1;0;0;9;9;NONE;-7
1;0;1;10;8;DOWN;-5
1;0;0;11;7;UP;-5
1;0;1;12;6;DOWN;-3
1;0;0;13;5;UP;-3
1;0;0;14;4;NONE;-2
1;0;0;15;3;NONE;-1
1;0;0;16;2;NONE;1
1;0;1;17;1;DOWN;1
1;0;2;18;0;DOWN;-2
1;0;3;19;1;DOWN;-2
1;0;2;20;2;UP;1
1;0;1;19;3;UP;1
1;0;0;18;4;UP;-2
1;0;1;17;5;DOWN;-2
1;0;0;16;6;UP;-4
1;0;0;15;7;NONE;-5
1;0;1;14;8;DOWN;-5
1;0;2;13;9;DOWN;-5
1;0;1;12;8;UP;-5
1;0;0;11;7;UP;-5
1;0;0;10;6;NONE;-4
1;0;1;9;5;DOWN;-2
1;0;2;8;4;DOWN;1
1;0;1;7;3;UP;1
1;0;0;6;2;UP;1
1;0;0;5;1;NONE;1
1;0;1;4;0;DOWN;-1
1;0;2;3;1;DOWN;-1
1;0;1;2;2;UP;1
1;0;0;1;3;UP;-1
1;0;1;0;4;DOWN;-10
1;0;0;1;5;UP;-3
1;0;0;2;6;NONE;-4
1;0;0;3;7;NONE;-5
1;0;1;4;8;DOWN;-5
1;0;2;5;9;DOWN;-5
1;0;3;6;8;DOWN;-3
1;0;2;7;7;UP;-3
1;0;1;8;6;UP;-3
1;0;0;9;5;UP;-3
1;0;0;10;4;NONE;-2
1;0;0;11;3;NONE;-1
1;0;1;12;2;DOWN;1
1;0;2;13;1;DOWN;-1
1;0;1;14;0;UP;-1
1;0;2;15;1;DOWN;-1
1;0;1;16;2;UP;1
1;0;0;17;3;UP;-1
1;0;0;18;4;NONE;-2
1;0;0;19;5;NONE;-3
1;0;0;20;6;NONE;-4
1;0;0;19;7;NONE;-5
1;0;0;18;8;NONE;-6
1;0;0;17;9;NONE;-7
1;0;1;16;8;DOWN;-5
1;0;2;15;7;DOWN;-3
1;0;3;14;6;DOWN;-1
1;0;4;13;5;DOWN;1
1;0;5;12;4;DOWN;-1
1;0;4;11;3;UP;-1
1;0;3;10;2;UP;-1
1;0;4;9;1;DOWN;-3
1;0;3;8;0;UP;-3
1;0;4;7;1;DOWN;-3
1;0;5;6;2;DOWN;-3
1;0;6;5;3;DOWN;-3
1;0;7;4;4;DOWN;-3
1;0;7;3;5;NONE;-2
1;0;7;2;6;NONE;-1
1;0;7;1;7;NONE;1
1;0;7;0;8;NONE;10
1;0;6;1;9;UP;-1
1;0;7;2;8;DOWN;1
1;0;7;3;7;NONE;1
1;0;7;4;6;NONE;-1
1;0;6;5;5;UP;-1
1;0;5;6;4;UP;-1
1;0;4;7;3;UP;-1
